Ageing Time,C4 (Pred),C4 (Pred)*,C4,AE,SE,RMSE
112.2689076,77.52086835,77.52086835,77.52086835,0,0,
112.4929972,77.49659197,77.49659197,77.49659197,0,0,
112.7170868,77.47231559,77.47231559,77.47231559,0,0,
112.9411765,77.44803922,77.44803922,77.44803922,0,0,
113.1652661,77.42376284,77.42376284,77.42376284,0,0,
113.3893557,77.39948646,77.39948646,77.39948646,0,0,
113.6134454,77.37521008,77.37521008,77.37521008,0,0,
113.837535,77.35093371,77.35093371,77.35093371,0,0,
114.0616246,77.32665733,77.32665733,77.32665733,0,0,
114.2857143,77.30238095,77.30238095,77.30238095,0,0,
114.5098039,77.27810458,77.27810458,77.27810458,0,0,
114.7338936,77.2538282,77.2538282,77.2538282,0,0,
114.9579832,77.22955182,77.22955182,77.22955182,0,0,
115.1820728,77.20527544,77.20527544,77.20527544,0,0,
115.4061625,77.18099907,77.18099907,77.18099907,0,0,
115.6302521,77.15672269,77.15672269,77.15672269,0,0,
115.8543417,77.13244631,77.13244631,77.13244631,0,0,
116.0784314,77.10816993,77.10816993,77.10816993,0,0,
116.302521,77.08389356,77.08389356,77.08389356,0,0,
116.5266106,77.05961718,77.05961718,77.05961718,0,0,
116.7507003,77.0353408,77.0353408,77.0353408,0,0,
116.9747899,77.01106443,77.01106443,77.01106443,0,0,
117.1988796,76.98678805,76.98678805,76.98678805,0,0,
117.4229692,76.96251167,76.96251167,76.96251167,0,0,
117.6470588,76.93823529,76.93823529,76.93823529,0,0,
117.8711485,76.91395892,76.91395892,76.91395892,0,0,
118.0952381,76.89880952,76.89880952,76.89880952,0,0,
118.3193277,76.8960084,76.8960084,76.8960084,0,0,
118.5434174,76.89320728,76.89320728,76.89320728,0,0,
118.767507,76.89040616,76.89040616,76.89040616,0,0,
118.9915966,76.88760504,76.88760504,76.88760504,0,0,
119.2156863,76.88480392,76.88480392,76.88480392,0,0,
119.4397759,76.8820028,76.8820028,76.8820028,0,0,
119.6638655,76.87920168,76.87920168,76.87920168,0,0,
119.8879552,76.87640056,76.87640056,76.87640056,0,0,
120.1120448,76.87359944,76.87359944,76.87359944,0,0,
